Period,Scenario,LoadLevel,Demand
2027,WS029,01-18 19:00:00+01:00,4248.715651
2027,WS029,01-18 20:00:00+01:00,4104.937962
2027,WS029,01-18 21:00:00+01:00,3838.386016
2027,WS029,01-18 22:00:00+01:00,3546.441924
2027,WS029,01-18 23:00:00+01:00,3259.907437
2027,WS029,01-19 00:00:00+01:00,3017.684171
2027,WS029,01-19 01:00:00+01:00,2850.822414
2027,WS029,01-19 02:00:00+01:00,2762.375053
2027,WS029,01-19 03:00:00+01:00,2739.642738
2027,WS029,01-19 04:00:00+01:00,2816.781338
2027,WS029,01-19 05:00:00+01:00,3045.081071
2027,WS029,01-19 06:00:00+01:00,3421.756595
2027,WS029,01-19 07:00:00+01:00,3767.40615
2027,WS029,01-19 08:00:00+01:00,3955.802082
2027,WS029,01-19 09:00:00+01:00,4072.684298
2027,WS029,01-19 10:00:00+01:00,4052.213609
2027,WS029,01-19 11:00:00+01:00,4056.717729
2027,WS029,01-19 12:00:00+01:00,4051.794085
2027,WS029,01-19 13:00:00+01:00,4011.253464
2027,WS029,01-19 14:00:00+01:00,3927.709071
2027,WS029,01-19 15:00:00+01:00,3912.739612
2027,WS029,01-19 16:00:00+01:00,3916.465789
2027,WS029,01-19 17:00:00+01:00,4039.756897
2027,WS029,01-19 18:00:00+01:00,4167.630968
2027,WS029,01-19 19:00:00+01:00,4142.962636
2027,WS029,01-19 20:00:00+01:00,3994.953086
2027,WS029,01-19 21:00:00+01:00,3747.855835
2027,WS029,01-19 22:00:00+01:00,3486.097369
2027,WS029,01-19 23:00:00+01:00,3225.64123
2027,mean,01-13 00:00:00+01:00,3010.585384
2027,mean,01-13 01:00:00+01:00,2824.653718
2027,mean,01-13 02:00:00+01:00,2719.245858
2027,mean,01-13 03:00:00+01:00,2663.874036
2027,mean,01-13 04:00:00+01:00,2657.927017
2027,mean,01-13 05:00:00+01:00,2737.261803
2027,mean,01-13 06:00:00+01:00,2965.585198
2027,mean,01-13 07:00:00+01:00,3262.57041
2027,mean,01-13 08:00:00+01:00,3496.861002
2027,mean,01-13 09:00:00+01:00,3724.987174
